,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,0.8,0.1,1,1,549,0.9,0.12333744856525272,0.0004096817198553163,0.12403852463286189,0.001974470389550761
1,0.6,0.05,1,2,598,0.8,0.12352880757949862,0.0004510252240348404,0.1239612025513321,0.0019895543949327195
2,1.0,0.01,5,3,959,1.0,0.12274325131321957,0.00032714583707157323,0.12414563981298017,0.0018126221697453053
3,1.0,0.1,1,4,147,0.7,0.12369435771536988,0.0004507131581935546,0.12396110891426085,0.001889028531638808
4,0.9,0.1,5,3,482,1.0,0.12247308130921992,0.0003065839670788554,0.12442084911240285,0.0017509445730222806
5,0.8,0.05,3,4,780,0.7,0.12287063849534227,0.00034697756127367207,0.12422621081409697,0.001831076622153773
6,0.6,0.05,1,1,411,0.7,0.12364379879986136,0.00046081455162184774,0.12396814830689182,0.0019644181385548728
7,0.7,0.05,1,4,976,0.8,0.12348534325045249,0.0004523646879530048,0.12400067172523449,0.0019550361878683496
8,1.0,0.1,4,2,499,0.7,0.12223490524276275,0.00030897451930368767,0.12467766377532365,0.0017627467142669517
9,0.9,0.05,1,1,832,0.9,0.12337803158815275,0.00041610495285606227,0.12400210863543826,0.0019749240334130417
10,0.9,0.05,5,1,37,0.8,0.1287568474207273,0.00032757970307156954,0.12939676041644935,0.0015497406955791123
11,1.0,0.01,2,3,540,0.9,0.12406607753686849,0.0004343722236198589,0.12440495005062557,0.0019034502363457517
12,0.9,0.1,1,2,818,0.9,0.12337304662203374,0.00043274960377312184,0.12408733024502913,0.001977943755343117
13,0.8,0.01,5,3,810,0.7,0.12283412160585805,0.00034775454459653224,0.12411609250546107,0.0018513051574192486
14,1.0,0.01,3,1,358,0.9,0.12402939163247229,0.000405095273616645,0.12449791421413663,0.0018706174858385955
15,0.7,0.1,3,3,783,1.0,0.12279428331876667,0.00033360280022694114,0.12421336512920941,0.0017842961827738975
16,0.9,0.01,2,1,749,1.0,0.12365245306647239,0.00042077141320630306,0.12409529817676225,0.0019104177454630788
17,0.8,0.1,2,1,259,1.0,0.12312407517839803,0.00036963499678393976,0.12402043316552248,0.0019020124591511813
18,0.6,0.01,3,3,712,1.0,0.12386170615978453,0.0004457303411734229,0.12430255802168483,0.0019968779241474185
19,0.8,0.01,4,1,637,1.0,0.12305497951721149,0.00033340810958828754,0.12397883754797809,0.001808083492620888
20,0.6,0.01,3,4,655,0.7,0.12400473073565314,0.0004596913672414511,0.12435372752637831,0.0019369740356571124
21,0.7,0.05,5,2,588,0.7,0.12227974391928235,0.00030505929970689363,0.12458805754579975,0.0017420739604467076
22,0.9,0.01,5,3,480,0.7,0.12310355663454778,0.0003694110594948069,0.12406079864073792,0.0017944842167792417
23,0.6,0.1,5,3,875,0.9,0.12320521479343109,0.00038347109727784596,0.12434763250203759,0.002029848962307854
24,0.8,0.01,1,1,838,0.8,0.12465000689245676,0.00045739787102657125,0.12484879835759143,0.0019073155907925227
25,0.7,0.1,1,2,644,0.8,0.12339603041887684,0.0004339055724494316,0.12406504903529188,0.0019664546267045683
26,0.6,0.1,3,2,996,0.7,0.12322309017936572,0.00038731035844927973,0.12433352151364178,0.002005463555077994
27,0.7,0.05,3,2,273,0.7,0.1230397721675794,0.00035335479464571534,0.12401301047279203,0.0018579042299243544
28,0.8,0.05,3,3,580,1.0,0.12294777632802514,0.00035649223765026603,0.12408510112999097,0.0018546271309206274
29,0.9,0.01,5,1,529,1.0,0.12291525048495715,0.00032771633176571535,0.12402889693257095,0.0017532570939922257
30,0.7,0.05,4,3,888,0.8,0.12246565343423566,0.00031112852474798707,0.12446518038152656,0.0017707683137189044
31,0.8,0.05,2,1,801,0.9,0.12296011801455993,0.0003389696987494614,0.12410679865895977,0.0018567337164527888
32,0.9,0.01,4,3,164,1.0,0.1315599614867829,0.00038603135521476955,0.13196820945728321,0.0014784082045271982
33,0.7,0.05,4,1,274,0.8,0.12272662920982683,0.0003175097651742105,0.12412350504985527,0.0017645252998405214
34,0.8,0.05,1,3,70,0.8,0.12950344296361033,0.0004909350660929302,0.1295799471433243,0.0016716880061075795
35,0.6,0.05,4,3,590,0.7,0.12333720011056881,0.0004248336715718403,0.12425570742771468,0.002010259480859024
36,0.7,0.01,5,3,564,1.0,0.12298664324896172,0.00034624507550012955,0.12402142730565766,0.0018058520971046977
37,1.0,0.1,2,4,402,0.9,0.123077613661935,0.00037330757389032217,0.12407730976217772,0.0018335349114932257
38,0.7,0.01,3,1,674,0.7,0.12327933029448397,0.0003755242692600275,0.12394924223618889,0.0018799795697401146
39,0.8,0.01,2,2,381,0.7,0.12522843755035304,0.0004379122894451166,0.12545653716275043,0.001831495656095257
40,0.8,0.01,5,4,527,0.7,0.12308651580278854,0.0003769961738992552,0.1240484954429448,0.0018129571693281418
41,1.0,0.1,2,4,744,0.7,0.12299638151063015,0.0003687464439421106,0.12420218946530724,0.0018284877663953668
42,1.0,0.01,1,1,356,0.7,0.12924498299425663,0.00048732027567210815,0.12931469669696524,0.0017079178062100301
43,0.7,0.1,1,4,435,0.8,0.12349235487698487,0.0004542682338688571,0.1240002105215544,0.0019620736648389907
44,0.8,0.01,1,1,196,0.9,0.13793828899805086,0.0004572284735558277,0.1379890665094898,0.0013018323222190012
45,1.0,0.01,5,3,144,1.0,0.13356436184175519,0.00034663776915697553,0.1341559570956686,0.0014204268806003982
46,0.9,0.01,5,3,196,1.0,0.12799821489984664,0.00037987894660799826,0.12858545028733723,0.0015391180491972324
47,1.0,0.01,5,3,684,0.8,0.12279852790937643,0.0003414480552733874,0.12408076171674064,0.0017617546468036965
48,1.0,0.05,4,1,997,0.9,0.12208353108453832,0.00030477952812461303,0.124772529647968,0.0017717612756537376
49,1.0,0.1,4,1,998,1.0,0.12226421010949237,0.00034862886067506824,0.12462476616167062,0.0018667288449231688
50,1.0,0.01,1,2,413,0.7,0.12803059739416398,0.00048318475242308727,0.12812356676062714,0.0017679120546318754
51,0.7,0.01,3,2,867,0.7,0.12319121796791659,0.00037532874712527167,0.12394897658675841,0.0018920177791521644
52,0.6,0.01,1,2,909,1.0,0.12456659286004627,0.00047739336234940645,0.12477250655034026,0.0018727327393981946
53,0.7,0.05,1,3,737,0.7,0.12349293788927058,0.0004447056281028097,0.12398482616413144,0.0019822322880220736
54,1.0,0.05,3,1,878,0.9,0.1225241800018303,0.00031140896398533985,0.12441267471788071,0.0018004652730325755
55,0.8,0.05,2,4,949,0.7,0.12310594128398714,0.00037778913401568094,0.12409924738297808,0.00187923291169217
56,0.7,0.05,1,3,723,0.8,0.12348561639827009,0.00044297267259728676,0.12397767226028898,0.0019606742210250545
57,1.0,0.05,3,1,797,0.7,0.12258563113187464,0.00032261255596672595,0.12437983585188747,0.0017916143229065587
58,1.0,0.01,3,2,576,1.0,0.12339405359269875,0.00040608140922566104,0.12402631404525312,0.0019287721588427092
59,0.7,0.05,4,2,740,0.7,0.12246265016491227,0.0003064282263279423,0.12444809655849859,0.0017829688876190592
60,0.9,0.05,2,1,634,0.9,0.12301912175502763,0.0003511034615471443,0.12406999867711474,0.0018822269727686713
61,0.7,0.01,3,3,376,0.8,0.12412630840035585,0.00040814201346761207,0.12454607386302886,0.0018314148510719535
62,0.7,0.1,4,3,635,0.7,0.12239117794242449,0.00030072602470698577,0.12454777395003545,0.001731340366313386
63,0.7,0.01,4,3,208,1.0,0.12740309391377874,0.0003890552475993672,0.12787581235214895,0.001585216168937095
64,0.9,0.1,3,2,720,0.8,0.12255312966589824,0.00030730667644930475,0.12442028848944849,0.0017914921422031382
65,0.9,0.1,5,4,531,0.7,0.12228719682958578,0.000303309422741182,0.12469530748264483,0.0017321099608810413
66,0.9,0.01,4,3,716,0.8,0.12307310053616198,0.00035801405945643276,0.1239815339958021,0.0018692665734658855
67,1.0,0.05,4,4,9,0.9,0.17912077106922125,0.00021529525827691654,0.17929939159244185,0.0007158564645799625
68,0.9,0.1,4,4,322,1.0,0.12277006073382386,0.0003351075066643021,0.12421089895863749,0.0017722651989842677
69,1.0,0.01,1,4,226,1.0,0.1349056184585546,0.00045410998873193005,0.13498423462155723,0.0014799233257920769
70,0.7,0.05,4,1,152,1.0,0.12297665465726108,0.0003269947970808889,0.12398125551045418,0.0017918217176645021
71,0.8,0.1,1,1,992,0.7,0.12328583396979798,0.00039419810542651296,0.12412312406869819,0.0019680852734841625
72,1.0,0.05,2,4,379,0.9,0.1232265097972278,0.00040204132993714733,0.12393651796799458,0.001842878409653479
73,1.0,0.01,3,1,594,0.7,0.12330259859863409,0.00038869984889635664,0.12391502427688583,0.0018341523668726283
74,1.0,0.05,3,4,327,1.0,0.12304708872867258,0.00038400553954779195,0.12403099637516382,0.001852941305424856
