,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,1.0,0.1,1,4,436,0.7,0.044161142237045405,0.0002085477653839068,0.04476544550842947,0.0008483581139364898
1,0.9,0.05,5,4,443,0.9,0.0374259405222224,0.00016242635363359657,0.045385715075688025,0.0008530313662686911
2,0.8,0.01,2,3,888,1.0,0.04453959041887347,0.0002062318590410901,0.044787483522406545,0.0008474377629256531
3,0.7,0.01,2,3,91,0.7,0.09245533020794881,0.0002704200092803273,0.0924786846871194,0.0003774938997677753
4,0.8,0.01,3,2,394,0.8,0.04477232615463071,0.0002103751299833757,0.04504710557305731,0.0008185889795197821
5,0.7,0.05,3,2,954,0.9,0.03999373891596269,0.00018110909230387756,0.045276228945199934,0.0008098152963665935
6,0.7,0.1,1,3,575,0.7,0.04406665854568934,0.00021098621803940798,0.04478920404861059,0.0008496378786223352
7,0.7,0.01,1,4,270,0.7,0.05138742595828736,0.0003949100138286707,0.05141802496932487,0.0006185243270540288
8,0.9,0.05,5,2,52,1.0,0.04569579975938724,0.00019480841431583135,0.04673143477206023,0.0007901241780193121
9,0.6,0.05,4,2,705,0.7,0.037612814953234874,0.00017510256789286018,0.045455981760267834,0.0007920363438979763
10,1.0,0.05,3,3,955,1.0,0.040350164402730024,0.00017650137864529418,0.04536592953108559,0.0007712592347878637
11,0.8,0.01,5,1,548,0.7,0.043043565333489575,0.00020213297659174876,0.04483668589957203,0.00085415009598595
12,1.0,0.1,3,3,902,0.9,0.035932929811470456,0.0001954885422883963,0.046022615512252,0.0008132510833990824
13,0.6,0.1,1,3,488,0.7,0.04414088216797057,0.0002112065048417587,0.04476238596457247,0.0008529229908134247
14,0.6,0.01,3,2,728,1.0,0.04427865404714302,0.00019944415517432829,0.04477717845335884,0.0008433881434900312
15,0.8,0.05,5,3,375,0.7,0.03828760740387584,0.00014478033957966282,0.04531842908850563,0.0008258567658668035
16,1.0,0.01,3,3,688,0.8,0.04430512780690983,0.00020257750027841357,0.04475498257846542,0.0008474937773447955
17,0.8,0.01,2,4,885,0.9,0.044514065715033066,0.0002086780393341505,0.0447672188548868,0.0008444714403731217
