,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,0.6,0.1,2,3,842,1.0,0.14613325802931243,0.0007179501090741029,0.1595233996237011,0.00311274242718718
1,0.7,0.05,1,3,273,0.8,0.15716163610547434,0.0007515442520240101,0.15842892191246322,0.002985829549494573
2,0.8,0.05,2,4,535,1.0,0.1528055116128862,0.0007568324619377103,0.15826634498511744,0.0030618409946535346
3,0.9,0.01,5,2,590,0.8,0.14746130264847626,0.0006473178719187217,0.15808382954448807,0.0030999739572857062
4,0.9,0.01,5,2,784,0.7,0.14446038398235386,0.0006500861109681623,0.1581406336854244,0.0031730893922763586
5,0.8,0.01,1,4,931,0.9,0.15855570738793753,0.0007420680702646742,0.1595383782784742,0.002892202585846537
6,0.8,0.1,4,1,292,1.0,0.13645168773065505,0.0008218835555938881,0.15969694123444872,0.002970658678670702
7,0.7,0.05,1,4,640,0.9,0.15573273643871693,0.0007447371290593255,0.15803566539998265,0.0030452112560330953
8,0.7,0.05,3,2,924,0.9,0.13937655900956641,0.000872654916272277,0.15947575639438072,0.003324687048804382
9,0.6,0.05,4,3,596,0.7,0.1343469971538295,0.0007226451019515018,0.15963606724235538,0.0032681236649014975
10,0.6,0.01,2,4,470,0.7,0.15823276326773078,0.0007449298659240238,0.1594996090941606,0.002872412893662352
11,0.9,0.1,3,4,166,0.8,0.14998409281255767,0.0007701663882797766,0.1582284063742212,0.0031476306872980832
12,1.0,0.1,2,2,627,0.7,0.1468444579518134,0.000775419752265539,0.15930489887665022,0.0031592447866644184
13,0.7,0.05,4,1,386,0.8,0.14078434218185656,0.0007672347265871406,0.15875490003787188,0.0032107856883500843
14,1.0,0.05,4,3,783,1.0,0.13044341701289103,0.0006114758239445477,0.1604468266304281,0.003028968440865767
15,1.0,0.05,3,1,84,1.0,0.15631732931691864,0.0007728283860590804,0.15873245325026247,0.0030259302268995005
16,0.8,0.01,5,4,334,0.9,0.1521597021860182,0.0007070185408137357,0.1584629464010826,0.003087187507367221
17,0.6,0.1,3,4,161,0.7,0.15069988790434907,0.0008021826740399007,0.15833071070534965,0.0033297915552220354
18,1.0,0.01,2,4,133,1.0,0.17572637594721413,0.0005674167435967137,0.17625600956197934,0.001867394353952896
19,0.9,0.05,1,3,690,1.0,0.15575511139340634,0.0007419047392185445,0.15800163811280887,0.003053891342758142
20,1.0,0.1,4,2,25,0.8,0.1570481790280754,0.0007405721532867818,0.15975562714960923,0.0029775095281781815
21,0.6,0.05,4,3,675,0.9,0.13267035981378877,0.000779892038581626,0.1596366806145207,0.0032143249930618916
22,1.0,0.01,3,1,761,0.9,0.15386659680019502,0.000757834969494253,0.1580226100042997,0.003117756673959867
23,0.8,0.01,1,1,9,1.0,0.23128185929629827,4.5412823055743214e-05,0.23128622836964793,0.00011614865544915494
24,0.6,0.01,3,4,813,1.0,0.15408241982043644,0.000720427541896097,0.15806135519186362,0.0031161125010226638
25,0.9,0.01,2,1,581,0.8,0.15713268477389472,0.0007378521578866028,0.15879537360848864,0.002916853506075177
26,0.7,0.05,5,3,81,0.7,0.1508066252634693,0.0007155938942637332,0.15818794325683422,0.0031369018279668354
27,0.8,0.05,5,2,472,0.9,0.12443672060131897,0.0007878072857936744,0.15975852014270822,0.0032550445650875986
28,0.9,0.01,3,2,517,1.0,0.15549520585275772,0.0007805392550403973,0.1583222118637574,0.003041379747968106
29,1.0,0.1,1,1,138,0.7,0.15704606269370086,0.0007350340590956485,0.15832695397598132,0.002975402232288028
30,0.6,0.05,4,1,218,0.9,0.1482786036103789,0.0007262532967252517,0.1581373801724119,0.0031574564998250523
31,1.0,0.05,3,4,467,0.9,0.14738358257210607,0.0007825000743872095,0.15857676244746918,0.003213076628245552
32,0.7,0.01,5,2,214,0.8,0.15625030302872295,0.0007086971339831202,0.16072466787365552,0.0029137821638255796
33,0.7,0.05,3,4,380,1.0,0.14987342253392694,0.0006889903798113712,0.15830027202812721,0.003157737733644219
34,0.9,0.1,5,3,279,0.8,0.11873267848197097,0.000729865049475932,0.16088543260836907,0.0032403294227875044
35,0.9,0.05,1,4,306,0.9,0.15691175877015656,0.0007423659961566675,0.15830304879977183,0.003001242793915766
36,0.8,0.01,3,3,769,0.8,0.15394101051031012,0.0007520027348521583,0.1579536943646496,0.0030917111224772996
37,0.9,0.01,5,3,953,1.0,0.1443956061980219,0.0007369521671751515,0.15856839889621532,0.0032314810799523455
38,1.0,0.1,1,3,778,0.7,0.1541807268351195,0.0007495123980028196,0.15848128166630496,0.0031343036251966654
39,0.8,0.1,1,3,873,1.0,0.15466811624787716,0.0007503532252540133,0.15825147840266818,0.00312635944913609
40,1.0,0.1,2,2,715,0.8,0.14570922567722092,0.000755969151953461,0.1595676998605516,0.0032051334424210054
41,1.0,0.01,3,2,262,0.8,0.1593215882283546,0.0007524524440446914,0.1608743636869466,0.00287541953804718
42,1.0,0.05,1,1,976,0.7,0.15489399545339275,0.0007460628316958575,0.15818150249577986,0.003065305620316212
43,0.7,0.05,5,4,168,0.8,0.1449971621176671,0.0006877314280655645,0.1582085008881337,0.003179090784012189
44,0.9,0.05,4,2,155,0.8,0.15032871698143918,0.0007353838771088916,0.15802807005146996,0.003158148007891829
45,1.0,0.01,2,4,983,0.7,0.15548328024797425,0.0007251410181333723,0.1580146801336533,0.0030101617785441154
46,0.6,0.05,5,3,327,0.7,0.1346955124435297,0.0006398235490200091,0.15905773947189925,0.0033591553505663207
47,0.6,0.1,4,3,851,0.9,0.1033598751770843,0.0006870688730641206,0.16348461820478696,0.0033321076557194006
48,0.9,0.1,2,2,772,0.8,0.14502470441807758,0.0007840452868968351,0.15967054475302414,0.003305017519564279
49,0.6,0.05,5,2,401,0.8,0.12954717487874287,0.0006673115448666885,0.159296135723398,0.0032130327733622356
50,1.0,0.05,4,1,472,1.0,0.13997956689187072,0.0008214592344985984,0.15916710448103646,0.0029735281429746486
51,1.0,0.01,5,4,575,0.9,0.14803689413586577,0.0006535217638440237,0.15815295585457245,0.003174151278713794
52,1.0,0.1,5,3,467,0.9,0.09874036448936545,0.0006755866353093304,0.16290076566455447,0.003248068351651732
53,0.7,0.01,2,4,346,0.8,0.16025313525663692,0.0007310906284359846,0.1613239148288948,0.002653658956034189
54,0.6,0.01,1,4,356,0.7,0.16704714853070385,0.0006259551703903234,0.1674630615462556,0.002200140546690472
55,0.7,0.01,1,2,462,1.0,0.1639280293052718,0.0006846152210684543,0.16453921765233376,0.0024458055397322768
56,0.6,0.01,4,2,370,0.8,0.1547956355573507,0.0007425488215845684,0.15842307253416316,0.003063586247701737
57,0.8,0.01,1,3,541,0.9,0.16219112048576828,0.0006931813684904432,0.16285187998160247,0.002553187074371027
58,1.0,0.01,3,3,738,0.7,0.1539675402644996,0.0007585958605600545,0.1579555175046789,0.003112641496141283
59,0.6,0.05,1,2,112,0.7,0.16177241524304123,0.0007029564508933051,0.1623633288811353,0.0025932229776869055
60,0.6,0.01,2,4,659,0.8,0.15679061968462277,0.0007398846924918886,0.15848906599545198,0.0029525824044469677
61,0.9,0.01,5,4,992,0.9,0.14269464345068425,0.0006576196977411855,0.1583589665412341,0.0031848406415034263
62,1.0,0.1,4,4,381,0.7,0.1273223577496215,0.0007383105010839666,0.16104342407233327,0.0033077083484031513
63,0.6,0.01,1,2,561,0.9,0.16190521681532247,0.0006982509057615497,0.16257114987508317,0.0025675155315915007
64,1.0,0.1,3,4,842,0.9,0.12677130676782675,0.0009031024079251903,0.16158777553292528,0.0032162836447392706
65,1.0,0.01,3,2,347,0.8,0.15722367560729084,0.0007626577585108875,0.15922785921527524,0.003000763695477616
66,0.6,0.05,4,1,583,0.8,0.13384165661720368,0.000784736489320406,0.15938690493670166,0.003299376146424965
67,0.7,0.01,5,1,771,1.0,0.14605044662372385,0.0007256087500810512,0.1583233397833819,0.003178034506242323
68,0.8,0.01,5,2,283,0.9,0.15326470415531415,0.0007184048626206112,0.15890126755480402,0.0030543898001413666
69,0.8,0.05,5,3,487,0.7,0.12289733891083099,0.000629378948576203,0.1601166683000761,0.003220302247199309
70,0.6,0.01,4,4,800,1.0,0.15124035204272604,0.0006936110891190255,0.15813786375018704,0.0031261183634972195
71,0.6,0.01,1,3,298,0.7,0.16976932601701683,0.0005972735316473976,0.17011739708908855,0.0020415290497774008
72,0.8,0.1,1,2,677,0.7,0.15442704447441719,0.0007470247114279055,0.15837656442839024,0.0030930434614578795
73,0.8,0.1,4,2,347,0.8,0.12938917571270542,0.0008642690834240801,0.160291529307325,0.0032662484901876338
74,0.7,0.01,4,2,161,1.0,0.1633595226882009,0.0006812669475265979,0.16524228117308445,0.002676380649211068
75,0.6,0.05,4,1,35,0.9,0.16225247372438456,0.0008454787021201941,0.1643366951262943,0.0026690313729302744
76,0.6,0.1,2,1,918,0.9,0.14401823084209026,0.0008109049586949979,0.1599526144494566,0.0032214962688425766
77,0.8,0.1,3,2,997,1.0,0.12607610259955,0.0008631261203500011,0.16207820317193034,0.0031306331939998885
78,1.0,0.05,2,2,267,1.0,0.15489839910247766,0.0007304700390422448,0.1581108024406275,0.002987624746591594
79,0.6,0.01,5,3,38,0.7,0.20368947484589645,0.000614678876421953,0.20465954379032184,0.0010112030228594938
80,0.8,0.1,3,4,708,0.8,0.1311270631394314,0.0007683163984594498,0.16096449084261202,0.0034059633577612778
81,1.0,0.1,2,3,358,0.8,0.15081811388060637,0.0007295578127350591,0.15851819574220544,0.0031642829005055543
82,0.6,0.01,1,2,168,0.9,0.18141328752896207,0.0004904318168119354,0.1815861928026589,0.001471387634550338
83,1.0,0.05,1,1,668,0.9,0.1555839111466007,0.0007433574071274286,0.1579817045580646,0.0030618439146503505
84,0.8,0.01,3,4,622,0.9,0.15478051830795395,0.0007455402442361278,0.15809049515050616,0.0030884313596113698
85,0.7,0.05,1,4,750,0.9,0.15551249197225658,0.0007464038366513495,0.1580776217375314,0.0030726389710086033
86,0.6,0.1,3,4,655,1.0,0.13596267031505133,0.0007823363298735432,0.16039017064252514,0.0032075782558676474
87,1.0,0.1,4,3,594,0.8,0.11267105540696236,0.0008712664948517416,0.16236012773565336,0.00356389319664043
88,0.6,0.05,4,4,885,0.9,0.12660161807095718,0.000719356302432558,0.16051081375117066,0.0032350556102972924
89,1.0,0.01,3,3,274,1.0,0.15911580229925953,0.00076864126257218,0.16077216351258997,0.0028365580831105994
90,0.6,0.01,1,3,827,0.8,0.15911402587362763,0.0007416208448354954,0.15996654734273966,0.0028206256195777647
91,0.7,0.01,2,1,513,0.8,0.1577211697553878,0.0007433453976357942,0.15919639111303346,0.0028845341479919835
92,1.0,0.01,5,1,784,1.0,0.14562906861559596,0.0008543548074401531,0.15846682469057918,0.0031744372120592747
93,0.7,0.01,4,4,322,1.0,0.15565067751518474,0.0007403099989664755,0.1588619756964947,0.0030803899942616875
94,0.6,0.05,4,2,415,0.8,0.14068649840083589,0.0006967554191814889,0.15871032856962908,0.003223255259661436
95,0.9,0.05,2,4,513,1.0,0.15294024011159674,0.0007454454430574926,0.15821764567910052,0.0030490628268200785
96,0.9,0.05,3,3,64,0.8,0.15775284188332667,0.0007570511730393512,0.15957626847670986,0.002966140160660134
97,0.7,0.01,2,4,789,1.0,0.15623680478100324,0.000718315587906201,0.1583788919951444,0.0029726354416668346
98,0.6,0.05,2,4,107,1.0,0.1576309524923073,0.0007333206997763035,0.15915763918221182,0.0029063316118851153
99,0.8,0.1,3,4,846,0.7,0.12712725783408224,0.0006707249235353637,0.16181713543031326,0.003236593794935899
