,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,0.9,0.01,4,1,667,0.8,0.12916209820362898,0.0004500585176541691,0.13014281892340693,0.002003182675845027
1,0.8,0.01,3,1,977,1.0,0.12927552143459006,0.00045345978577856485,0.13015061103792178,0.0020458393133832857
2,0.9,0.1,2,4,728,0.7,0.12914256394322537,0.0004501133529734737,0.13026535114492765,0.002056637480100851
3,1.0,0.1,4,3,288,1.0,0.1288157974106368,0.0004476506106562345,0.13037770588906247,0.002029226738377653
4,1.0,0.1,3,4,758,0.7,0.12870090824241545,0.0004430451068653638,0.13054650900705386,0.002000058296258188
5,0.8,0.05,4,4,872,0.9,0.12860490157787768,0.0004424790674650439,0.13053228791088517,0.001957505286565045
6,0.8,0.1,2,2,914,0.8,0.12894425749821642,0.0004458883101716614,0.1303236019639592,0.0020257021807737487
7,1.0,0.1,5,3,611,0.8,0.12801257756254442,0.00045085794121606335,0.13110564334916605,0.0019595099248577207
8,1.0,0.1,5,2,915,0.9,0.12775044449567424,0.0004659166260500533,0.13137281007079255,0.0019556318054965633
9,0.9,0.01,2,3,333,1.0,0.13215304100834965,0.0005091402174998545,0.13238844456915724,0.0019394923626622213
10,0.8,0.01,2,1,820,1.0,0.1297284171610637,0.00048386068886146095,0.1302201056598888,0.0020546032232396194
11,1.0,0.05,1,3,411,0.7,0.12972247192327746,0.0004998393622977536,0.13007215488472737,0.0020667873453557475
12,0.6,0.05,4,4,994,0.9,0.12944965330755617,0.0004754355009451049,0.13040581346991292,0.0021642191051579685
13,0.8,0.05,4,3,288,0.8,0.12894038150852555,0.00045164491286491784,0.13026835185480753,0.0020108594949694277
14,0.9,0.01,2,1,137,0.9,0.1448564131371777,0.0004383950435073016,0.14495491783463585,0.0015423079842716548
15,0.8,0.1,5,1,66,0.7,0.12891165037222121,0.00044369288352220134,0.13018651849883042,0.0019631851033049064
16,0.8,0.01,3,2,138,1.0,0.1424379953763214,0.0004555267262125009,0.1427000323040821,0.0016164602099888383
17,0.8,0.01,5,1,172,0.9,0.13612480920181774,0.0004622359444191199,0.13676323643879143,0.0017012484905792784
18,1.0,0.01,4,2,676,1.0,0.12916276162428497,0.0004631711742738379,0.13020750715240612,0.002065004365083976
19,1.0,0.05,5,2,302,0.9,0.12846261971692194,0.0004451426761043412,0.13049449222879358,0.00197318234314634
20,1.0,0.05,1,1,311,0.9,0.12986664655900024,0.0004974365557342171,0.13018607297219495,0.002027080919797818
21,0.7,0.1,5,3,879,1.0,0.1284722120641094,0.000397103962248252,0.13058856570015304,0.0019425294940069086
22,0.9,0.01,4,3,341,0.7,0.13003661396396893,0.00047474963426963324,0.13064037566932926,0.001974589682282854
23,0.6,0.01,1,2,829,0.8,0.1309837189691012,0.000504996019906437,0.13118509885374435,0.001988971872791794
24,0.6,0.1,5,3,284,0.9,0.12945154560680738,0.0004891744210447891,0.13040716779057915,0.0021756999405042367
