,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,0.7,0.01,2,4,78,0.7,0.16546236461191638,0.000626373219338071,0.16554390739609443,0.0008013117006555069
1,0.6,0.1,5,4,710,0.7,0.09134500015589224,0.00019753411532724192,0.13353086428588007,0.0012039670233123002
2,0.9,0.1,5,2,299,0.8,0.10795372412170676,0.00047207550798814983,0.1303721326893776,0.001259788433899353
3,0.6,0.05,4,1,359,0.7,0.12125241312047072,0.0003322377683021003,0.12878585615229013,0.0016984395388686298
4,0.6,0.1,1,4,14,0.7,0.15329000766909878,0.0007462181671221618,0.15335362711400216,0.0010139785133965278
5,0.8,0.1,1,4,914,0.7,0.126548372993496,0.00040190749121688115,0.1285848751593568,0.001772384881306327
6,0.8,0.1,1,4,282,0.7,0.12742247278106086,0.00041953996488932417,0.12837706753947323,0.001805615948051059
7,0.8,0.1,4,4,873,0.9,0.10171440375554186,0.00020766871753578282,0.13217110506363214,0.0012444064803926833
8,0.7,0.01,4,4,732,1.0,0.12578123370068872,0.00035326603516759093,0.12850667839111674,0.0017419180543534842
9,0.9,0.05,3,1,942,0.8,0.1190865980960762,0.000327385927623885,0.12929320954768328,0.0015112369326390255
10,0.8,0.1,4,3,68,0.7,0.12565713494029468,0.0003625058137246001,0.128460321786796,0.0017592651279155018
11,0.8,0.1,3,2,855,0.7,0.11414558290404404,0.00031391776484910634,0.13057962122223862,0.001433952896247784
12,0.7,0.05,5,4,733,0.8,0.10674522729836906,0.0002309541060117685,0.13047006544514186,0.0013299849476828306
13,0.6,0.1,3,3,710,0.9,0.11699824751603086,0.0002842770027309471,0.12988355822505437,0.0014519323803805775
14,0.7,0.1,1,3,520,0.8,0.1270074226106168,0.00040614677312873114,0.1284630576761143,0.0018204501287407487
15,1.0,0.05,3,2,193,0.9,0.12612724169294537,0.00037286121724432484,0.12845931429637986,0.00179309425681839
16,0.8,0.01,5,1,200,0.9,0.1306412451634876,0.00041796351004587525,0.1328924895678022,0.0016254368106184216
17,0.9,0.05,5,4,118,0.9,0.12433330609591561,0.00032521788840330886,0.12863119054331265,0.0017375588884267594
18,0.7,0.05,4,2,325,0.9,0.12225776375506259,0.0003503007935651302,0.1287124168950895,0.001631497366332819
19,0.8,0.01,2,2,634,0.8,0.12828872365802146,0.00044158310129300247,0.12900127408579598,0.001927296272907497
20,0.8,0.01,4,4,62,0.7,0.1705601907947485,0.0005034797213726599,0.17103466134895104,0.0008330357339486326
21,0.7,0.1,1,2,872,0.9,0.12664135255891867,0.00039205394612484623,0.1285280910975227,0.0017802550044702591
22,0.6,0.01,3,3,265,0.8,0.1307212949358682,0.000498137370729199,0.13142095923565136,0.0016964642265157222
23,0.8,0.01,2,4,766,0.8,0.12785016994087975,0.0004198800795766297,0.12870272385335302,0.001908841797252562
24,0.7,0.01,3,3,296,1.0,0.12973753287242207,0.00044369260118771515,0.1305127217085429,0.001782997803081898
25,0.9,0.01,5,2,382,1.0,0.1257086568443136,0.0003685081255727189,0.1288901978830002,0.001820200115544265
26,0.6,0.05,1,3,274,0.8,0.12836965963084582,0.0004495970229312823,0.12890075252325314,0.0018967879932750595
27,0.8,0.05,4,1,791,0.9,0.11375342799615622,0.00035170070341909227,0.1297484068289765,0.0014188657130282598
