,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,0.9,0.05,3,3,815,0.7,0.09906467735268508,0.0006700732780894615,0.11575357890790973,0.0029394595617788636
1,0.9,0.05,2,1,969,0.7,0.10648992848295569,0.0006689647591398928,0.11519579666448519,0.002960410670173585
2,0.7,0.05,5,4,190,0.7,0.10268490745825894,0.0006713304080258375,0.11482728468589465,0.002857801798258246
3,0.6,0.05,3,4,269,0.8,0.10942141003389846,0.0007345113540846743,0.11448976603117877,0.002976425645751083
4,0.7,0.01,1,4,701,0.9,0.11619760856261899,0.0007531781155724546,0.11666893779459715,0.0029802591710111465
5,0.8,0.01,2,1,761,0.9,0.11335458927881939,0.0007159963851597525,0.11475011208712878,0.00297624397807907
6,0.6,0.01,1,2,122,0.8,0.14922725828904987,0.000744644096013825,0.14933265826090417,0.001605084423483534
7,0.8,0.01,1,3,325,1.0,0.12285108367696099,0.0007701013151270391,0.12305516968813958,0.002656962623004313
8,1.0,0.05,2,4,935,0.9,0.10713543556417753,0.000764484634608032,0.11519113207524993,0.003027495477683449
9,1.0,0.01,4,2,281,1.0,0.11386169346759781,0.0007011734629232189,0.115950668752657,0.0029372776083249554
10,1.0,0.05,2,1,456,1.0,0.11072053667229813,0.0006832456064840271,0.11460052299924495,0.003051337049085029
11,1.0,0.05,1,2,404,0.8,0.11320216768480125,0.0007331186216320185,0.11444264503428919,0.002986567040880044
12,0.9,0.1,5,1,508,1.0,0.06410636038384862,0.0008435578930523882,0.11886602579698655,0.0027433032080875445
13,0.6,0.01,5,1,368,0.9,0.10936370457009677,0.0006589739433316285,0.11506242927067573,0.002786290322973341
14,0.7,0.01,3,3,474,0.9,0.11313054601814232,0.0007260444976298669,0.11479478734197646,0.002996175328018136
15,1.0,0.01,5,2,710,0.7,0.1044026713825896,0.0006071250632837049,0.11457350984264902,0.0028744376415035322
16,0.8,0.1,2,1,388,1.0,0.10872818244189916,0.0006543199131284876,0.1149582035985256,0.0031260775821011413
17,0.9,0.05,4,2,383,0.9,0.10021897974957486,0.0008036356159702919,0.11510323396166172,0.003025023845248988
