,m1,m2,m3,m4,selection
0,0,3,4,0,other
1,0,13,6,0,other
2,0,5,7,27,balanced
3,0,6,8,60,balanced
4,1,7,8,61,turned
5,0,5,8,0,other
6,0,6,8,36,balanced
7,0,8,9,0,other
8,0,8,9,19,balanced
9,0,2,10,22,balanced
10,0,4,10,64,reaction
11,0,9,11,56,balanced
12,0,8,11,25,reaction
13,0,7,11,66,reaction
14,4,7,12,41,turned
15,3,8,12,0,other
16,1,6,12,41,turned
17,0,9,12,48,balanced
18,0,7,12,45,balanced
19,9,10,13,21,turned
20,0,12,13,15,balanced
21,0,7,13,48,reaction
22,4,5,13,37,turned
23,3,7,13,35,turned
24,0,12,13,39,balanced
25,0,8,13,27,balanced
26,0,7,13,26,reaction
27,0,10,13,45,reaction
28,0,10,14,17,balanced
29,0,12,14,18,reaction
30,0,9,14,73,reaction
31,0,11,14,90,balanced
32,2,12,15,0,other
33,5,8,15,29,turned
34,0,10,15,42,balanced
35,0,8,15,49,balanced
36,2,13,15,67,turned
37,3,12,16,53,turned
38,0,11,16,81,reaction
39,0,10,16,68,reaction
40,0,8,16,27,reaction
41,0,15,16,61,balanced
42,0,13,16,36,balanced
43,0,8,16,24,balanced
44,1,8,16,93,turned
45,0,12,16,79,reaction
46,0,14,16,28,reaction
47,0,14,16,34,reaction
48,11,12,17,45,turned
49,0,6,17,69,reaction
50,0,15,17,26,reaction
51,3,8,17,0,other
52,0,14,17,0,other
53,0,7,17,37,reaction
54,0,14,17,37,balanced
55,0,13,17,47,balanced
56,0,12,17,0,other
57,0,16,17,23,balanced
58,0,15,18,86,reaction
59,0,5,18,35,reaction
60,0,12,18,82,reaction
61,0,17,18,53,balanced
62,4,7,18,26,turned
63,10,16,18,67,turned
64,13,17,18,42,turned
65,0,16,19,40,reaction
66,9,14,19,0,other
67,9,10,19,36,turned
68,0,12,19,23,reaction
69,10,16,19,21,turned
70,0,15,20,24,reaction
71,0,12,20,30,balanced
72,0,15,20,50,reaction
73,10,11,20,24,turned
74,1,14,20,54,turned
75,0,19,20,80,reaction
76,12,13,20,40,turned
77,15,16,20,59,turned
78,6,10,21,30,turned
79,0,17,21,43,reaction
80,0,18,21,45,reaction
81,0,19,21,49,reaction
82,0,20,21,88,balanced
83,0,15,21,23,reaction
84,3,17,21,0,other
85,0,26,21,78,balanced
86,0,19,22,28,reaction
87,0,19,22,45,balanced
88,0,13,22,53,reaction
89,2,9,22,33,turned
90,0,14,22,38,reaction
91,0,3,22,39,reaction
92,0,6,22,44,reaction
93,0,14,22,32,reaction
94,0,20,22,38,reaction
95,3,14,22,81,turned
96,8,14,22,37,turned
97,2,12,22,24,turned
98,0,14,22,64,reaction
99,16,17,22,49,turned
100,8,19,22,0,other
101,0,9,22,59,reaction
102,0,14,23,40,balanced
103,11,18,23,27,turned
104,0,15,23,0,other
105,0,10,23,35,reaction
106,0,17,23,49,reaction
107,0,21,23,31,reaction
108,10,22,23,35,turned
109,5,9,23,27,turned
110,0,9,23,79,balanced
111,0,21,23,79,balanced
112,0,13,24,80,reaction
113,0,14,24,26,reaction
114,5,17,24,29,turned
115,0,16,24,50,balanced
116,0,18,24,42,reaction
117,0,7,24,28,balanced
118,7,14,24,46,turned
119,10,15,24,64,turned
120,0,15,24,89,reaction
121,0,7,24,62,balanced
122,0,18,24,44,balanced
123,2,19,24,57,turned
124,11,23,24,62,turned
125,11,20,24,0,other
126,0,13,24,50,reaction
127,0,9,25,46,balanced
128,9,11,25,88,turned
129,5,13,25,28,turned
130,10,22,25,46,turned
131,0,18,25,36,reaction
132,0,7,25,0,other
133,0,10,25,45,balanced
134,0,23,25,55,reaction
135,0,10,25,68,reaction
136,0,19,25,72,reaction
137,8,16,25,65,turned
138,0,18,25,39,reaction
139,11,23,25,43,turned
140,0,6,25,0,other
141,0,16,25,35,balanced
142,0,6,25,32,balanced
143,0,16,25,58,balanced
144,5,14,25,64,turned
145,0,16,25,39,reaction
146,0,14,25,66,balanced
147,2,21,26,68,turned
148,0,21,26,0,other
149,0,24,26,48,balanced
150,0,21,26,34,reaction
151,0,23,26,0,other
152,0,24,26,93,reaction
153,20,24,26,47,turned
154,10,16,26,57,turned
155,0,25,26,65,balanced
156,0,24,26,84,reaction
157,10,22,26,36,turned
158,0,17,26,56,reaction
159,0,13,26,46,balanced
160,0,7,26,61,balanced
161,3,19,26,34,turned
162,2,10,26,50,turned
163,0,23,27,57,balanced
164,0,21,27,90,balanced
165,0,25,27,49,reaction
166,0,21,27,82,reaction
167,4,18,27,87,turned
168,0,9,27,34,reaction
169,15,26,27,52,turned
