,total,first_win,draw,second_win,p_value,h_first_win,h_draw,h_second_win,h_p_value,a_first_win,a_draw,a_second_win,a_p_value
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,10.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
3,28.0,11.0,6.0,10.0,1.0,6.0,2.0,4.0,0.7539,5.0,4.0,6.0,1.0
4,62.0,24.0,13.0,24.0,1.0,15.0,5.0,10.0,0.4244,9.0,8.0,14.0,0.4049
5,103.0,42.0,20.0,41.0,1.0,24.0,9.0,15.0,0.1996,18.0,11.0,26.0,0.2912
6,164.0,66.0,34.0,64.0,0.9302,32.0,18.0,24.0,0.3497,34.0,16.0,40.0,0.5614
7,237.0,95.0,56.0,86.0,0.5522,53.0,29.0,38.0,0.1418,42.0,27.0,48.0,0.5984
8,303.0,125.0,68.0,108.0,0.2945,68.0,33.0,49.0,0.0957,57.0,35.0,59.0,0.9261
9,401.0,158.0,92.0,151.0,0.7329,92.0,46.0,70.0,0.0987,66.0,46.0,81.0,0.2481
10,505.0,205.0,114.0,186.0,0.3627,116.0,55.0,84.0,0.0281,89.0,59.0,102.0,0.3853
11,613.0,242.0,139.0,232.0,0.6794,133.0,70.0,94.0,0.0115,109.0,69.0,138.0,0.0746
12,730.0,281.0,172.0,277.0,0.899,159.0,79.0,107.0,0.0017,122.0,93.0,170.0,0.0059
13,848.0,329.0,197.0,322.0,0.8141,187.0,89.0,126.0,0.0007,142.0,108.0,196.0,0.0039
14,974.0,366.0,235.0,372.0,0.854,212.0,109.0,139.0,0.0001,154.0,126.0,233.0,0.0001
15,1080.0,403.0,265.0,412.0,0.7793,237.0,124.0,161.0,0.0002,166.0,141.0,251.0,0.0
16,1209.0,456.0,300.0,453.0,0.9471,263.0,134.0,180.0,0.0001,193.0,166.0,273.0,0.0002
17,1361.0,530.0,344.0,486.0,0.1773,308.0,155.0,197.0,0.0,222.0,189.0,289.0,0.0035
18,1491.0,583.0,374.0,534.0,0.1509,341.0,174.0,216.0,0.0,242.0,200.0,318.0,0.0015
19,1664.0,637.0,425.0,602.0,0.3341,368.0,203.0,247.0,0.0,269.0,222.0,355.0,0.0007
20,1819.0,691.0,465.0,662.0,0.4465,399.0,223.0,283.0,0.0,292.0,242.0,379.0,0.0009
