,turned_total,turned_winning,turned_draw,turned_loosing,balanced_total,balanced_winning,balanced_draw,balanced_loosing,reaction_total,reaction_winning,reaction_draw,reaction_loosing,p_balanced_reaction,p_balanced_turned,p_turned_reaction
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
6,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,,,
7,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,,
8,8.0,6.0,2.0,0.0,8.0,4.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,
9,10.0,8.0,2.0,0.0,15.0,7.0,4.0,4.0,5.0,2.0,3.0,0.0,0.0,0.0,
10,13.0,11.0,2.0,0.0,22.0,11.0,5.0,6.0,9.0,3.0,4.0,2.0,0.0,0.0,1e-05
11,15.0,12.0,2.0,1.0,28.0,15.0,6.0,7.0,16.0,7.0,7.0,2.0,2e-05,0.0,0.0219
12,25.0,17.0,3.0,5.0,34.0,19.0,6.0,9.0,24.0,13.0,9.0,2.0,0.0,0.04005,0.00771
13,34.0,23.0,6.0,5.0,44.0,25.0,8.0,11.0,35.0,21.0,8.0,6.0,0.08507,0.01795,0.65144
14,41.0,29.0,6.0,6.0,56.0,34.0,11.0,11.0,45.0,29.0,9.0,7.0,0.16594,0.01007,0.56472
15,55.0,40.0,8.0,7.0,62.0,37.0,12.0,13.0,56.0,40.0,8.0,8.0,0.06891,0.02512,0.93941
16,71.0,53.0,10.0,8.0,76.0,45.0,16.0,15.0,75.0,53.0,11.0,11.0,0.0848,0.00423,0.63474
