minute,benefited,draw,punished
0,1,0,1
1,3,3,1
2,3,1,0
3,3,0,1
4,7,3,1
5,1,0,2
6,4,0,1
7,0,4,0
8,5,0,0
9,2,3,1
10,1,2,3
11,3,2,2
12,5,3,0
13,1,0,1
14,4,0,2
15,4,3,3
16,1,3,2
17,7,1,3
18,9,3,1
19,4,5,0
20,5,3,2
21,7,3,3
22,4,4,3
23,7,2,2
24,5,2,2
25,7,3,5
26,8,2,5
27,5,4,5
28,6,6,1
29,14,3,2
30,8,2,5
31,10,2,8
32,8,1,3
33,8,5,3
34,9,6,4
35,7,10,8
36,14,5,3
37,7,3,1
38,8,8,3
39,8,3,4
40,10,8,6
41,9,3,8
42,13,10,9
43,16,7,8
44,40,32,22
45,4,2,0
46,12,4,3
47,6,3,5
48,8,4,7
49,17,9,7
50,15,5,4
51,15,11,1
52,7,5,5
53,19,5,6
54,10,7,11
55,13,4,11
56,14,5,9
57,15,9,2
58,15,7,11
59,15,4,5
60,19,11,7
61,10,11,8
62,20,7,7
63,12,5,9
64,17,3,8
65,20,11,4
66,18,9,8
67,18,12,7
68,16,15,9
69,19,7,8
70,25,17,13
71,13,10,8
72,19,12,10
73,24,10,12
74,23,12,10
75,21,10,10
76,27,18,21
77,18,13,13
78,16,16,11
79,28,16,12
80,22,20,23
81,26,13,11
82,31,16,23
83,20,22,16
84,32,19,13
85,31,15,16
86,25,12,16
87,32,21,17
88,27,19,26
89,44,26,25
90,25,18,15
91,25,14,17
92,41,24,18
93,28,16,14
94,14,4,10
95,2,2,0
